# file...... ./glm_output/Meter_645_B_Power.real_Best.csv
# date...... Thu Mar  2 18:06:31 2023
# user...... deras
# host...... (null)
# trigger... (none)
# interval.. 900
# limit..... 0
# timestamp,meter_645_B:measured_real_power,xfmr_meter_645_B_1:measured_real_power,xfmr_meter_645_B_2:measured_real_power,xfmr_meter_645_B_3:measured_real_power,xfmr_meter_645_B_4:measured_real_power,xfmr_meter_645_B_5:measured_real_power
2021-12-25 00:00:00 UTC,+0.000500324,+0.000100065,+0.000100065,+0.000100065,+0.000100065,+0.000100065
2021-12-25 00:15:00 UTC,+0.000500324,+0.000100065,+0.000100065,+0.000100065,+0.000100065,+0.000100065
2021-12-25 00:30:00 UTC,+0.000500324,+0.000100065,+0.000100065,+0.000100065,+0.000100065,+0.000100065
2021-12-25 00:45:00 UTC,+0.000500324,+0.000100065,+0.000100065,+0.000100065,+0.000100065,+0.000100065
2021-12-25 01:00:00 UTC,+0.000500324,+0.000100065,+0.000100065,+0.000100065,+0.000100065,+0.000100065
2021-12-25 01:15:00 UTC,+0.000500324,+0.000100065,+0.000100065,+0.000100065,+0.000100065,+0.000100065
2021-12-25 01:30:00 UTC,+0.000500324,+0.000100065,+0.000100065,+0.000100065,+0.000100065,+0.000100065
2021-12-25 01:45:00 UTC,+0.000500324,+0.000100065,+0.000100065,+0.000100065,+0.000100065,+0.000100065
2021-12-25 02:00:00 UTC,+0.000500324,+0.000100065,+0.000100065,+0.000100065,+0.000100065,+0.000100065
2021-12-25 02:15:00 UTC,+0.000500324,+0.000100065,+0.000100065,+0.000100065,+0.000100065,+0.000100065
2021-12-25 02:30:00 UTC,+0.000500324,+0.000100065,+0.000100065,+0.000100065,+0.000100065,+0.000100065
2021-12-25 02:45:00 UTC,+0.000500324,+0.000100065,+0.000100065,+0.000100065,+0.000100065,+0.000100065
2021-12-25 03:00:00 UTC,+0.000500324,+0.000100065,+0.000100065,+0.000100065,+0.000100065,+0.000100065
2021-12-25 03:15:00 UTC,+0.000500324,+0.000100065,+0.000100065,+0.000100065,+0.000100065,+0.000100065
2021-12-25 03:30:00 UTC,+0.000500324,+0.000100065,+0.000100065,+0.000100065,+0.000100065,+0.000100065
2021-12-25 03:45:00 UTC,+0.000500324,+0.000100065,+0.000100065,+0.000100065,+0.000100065,+0.000100065
2021-12-25 04:00:00 UTC,+0.000500324,+0.000100065,+0.000100065,+0.000100065,+0.000100065,+0.000100065
2021-12-25 04:15:00 UTC,+0.000500324,+0.000100065,+0.000100065,+0.000100065,+0.000100065,+0.000100065
2021-12-25 04:30:00 UTC,+0.000500324,+0.000100065,+0.000100065,+0.000100065,+0.000100065,+0.000100065
2021-12-25 04:45:00 UTC,+0.000500324,+0.000100065,+0.000100065,+0.000100065,+0.000100065,+0.000100065
2021-12-25 05:00:00 UTC,+0.000500324,+0.000100065,+0.000100065,+0.000100065,+0.000100065,+0.000100065
2021-12-25 05:15:00 UTC,+0.000500324,+0.000100065,+0.000100065,+0.000100065,+0.000100065,+0.000100065
2021-12-25 05:30:00 UTC,+0.000500324,+0.000100065,+0.000100065,+0.000100065,+0.000100065,+0.000100065
2021-12-25 05:45:00 UTC,+0.000500324,+0.000100065,+0.000100065,+0.000100065,+0.000100065,+0.000100065
2021-12-25 06:00:00 UTC,+0.000500324,+0.000100065,+0.000100065,+0.000100065,+0.000100065,+0.000100065
2021-12-25 06:15:00 UTC,+0.000500324,+0.000100065,+0.000100065,+0.000100065,+0.000100065,+0.000100065
2021-12-25 06:30:00 UTC,+0.000500324,+0.000100065,+0.000100065,+0.000100065,+0.000100065,+0.000100065
2021-12-25 06:45:00 UTC,+0.000500324,+0.000100065,+0.000100065,+0.000100065,+0.000100065,+0.000100065
2021-12-25 07:00:00 UTC,+0.000500324,+0.000100065,+0.000100065,+0.000100065,+0.000100065,+0.000100065
2021-12-25 07:15:00 UTC,+0.000500324,+0.000100065,+0.000100065,+0.000100065,+0.000100065,+0.000100065
2021-12-25 07:30:00 UTC,+0.000500324,+0.000100065,+0.000100065,+0.000100065,+0.000100065,+0.000100065
2021-12-25 07:45:00 UTC,+0.000500324,+0.000100065,+0.000100065,+0.000100065,+0.000100065,+0.000100065
2021-12-25 08:00:00 UTC,+0.000500324,+0.000100065,+0.000100065,+0.000100065,+0.000100065,+0.000100065
2021-12-25 08:15:00 UTC,+0.000500324,+0.000100065,+0.000100065,+0.000100065,+0.000100065,+0.000100065
2021-12-25 08:30:00 UTC,+0.000500324,+0.000100065,+0.000100065,+0.000100065,+0.000100065,+0.000100065
2021-12-25 08:45:00 UTC,+0.000500324,+0.000100065,+0.000100065,+0.000100065,+0.000100065,+0.000100065
2021-12-25 09:00:00 UTC,+0.000500324,+0.000100065,+0.000100065,+0.000100065,+0.000100065,+0.000100065
2021-12-25 09:15:00 UTC,+0.000500324,+0.000100065,+0.000100065,+0.000100065,+0.000100065,+0.000100065
2021-12-25 09:30:00 UTC,+26892.5,+4483.3,+13442.5,+4483.3,+4483.3,+9.96848e-05
